[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/a5
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/a6
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/a7
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/a8
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/a9
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/aa
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/ab
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/ac
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/ad
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/ae
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/af
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b0
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b1
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b2
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b3
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b4
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b5
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/b6
