------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:12 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.reassembly_memuse                         | Total                     | 5992492
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:53:30 (uptime: 0d, 00h 00m 48s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 1973
ips.blocked                                   | Total                     | 388
ips.drop_reason.flow_drop                     | Total                     | 352
ips.drop_reason.applayer_error                | Total                     | 8
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 27
decoder.pkts                                  | Total                     | 2362
decoder.bytes                                 | Total                     | 5743247
decoder.ipv4                                  | Total                     | 2362
decoder.tcp                                   | Total                     | 1874
tcp.syn                                       | Total                     | 143
tcp.synack                                    | Total                     | 147
tcp.rst                                       | Total                     | 19
decoder.udp                                   | Total                     | 484
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 2431
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 143
flow.total                                    | Total                     | 241
flow.active                                   | Total                     | 241
flow.tcp                                      | Total                     | 170
flow.udp                                      | Total                     | 71
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 143
tcp.ssn_from_pool                             | Total                     | 143
tcp.segment_from_cache                        | Total                     | 211
tcp.segment_from_pool                         | Total                     | 187
tcp.overlap                                   | Total                     | 7
app_layer.flow.tls                            | Total                     | 15
app_layer.flow.quic                           | Total                     | 8
app_layer.tx.quic                             | Total                     | 16
app_layer.error.quic.parser                   | Total                     | 8
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 28
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 17
app_layer.tx.dns_udp                          | Total                     | 34
app_layer.flow.failed_udp                     | Total                     | 44
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
